scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
domestic_inflow_zero,2047,8691026.286101207,7523612.777426308,1167413.508674899,4054438.9463198874,4636587.339781321,549987.7606374734,4496565.872458162,3644472.6530055725,0.1343240107951164,0.41933743300648585
domestic_inflow_zero,2048,8486704.541736014,7308876.361153742,1177828.180582271,3948830.446951793,4537874.09478422,524647.0324814672,4332273.815858486,3629783.6933960593,0.13878510495916688,0.42770237558589047
domestic_inflow_zero,2049,8287092.561118637,7099327.469661905,1187765.0914567315,3845708.2368886243,4441384.3242300125,501955.4350784301,4171979.607887362,3613157.5181528446,0.1433271177673923,0.4359982094450168
domestic_inflow_zero,2050,8092073.409719026,6894827.652214633,1197245.7575043924,3745012.738887712,4347060.670831313,481614.2783589012,4015892.1375703057,3594566.9937898205,0.14795290364845606,0.4442084014552497
domestic_inflow_zero,2051,7901498.2587236725,6695208.825593641,1206289.433130031,3646674.0126076154,4254824.246116057,463358.0273680035,3864173.6979533173,3573966.533402351,0.15266591140461538,0.45231504410654055
domestic_inflow_zero,2052,7715205.486321665,6500290.662609195,1214914.8237124686,3550626.957245553,4164578.5290761115,446951.17118889914,3726955.0716025555,3541299.2435302096,0.1574701835053387,0.45900258260244664
domestic_inflow_zero,2053,7532440.224051608,6309301.008076817,1223139.21597479,3456614.334467781,4075825.889583827,432316.9547626739,3594881.040111581,3505242.229177352,0.16238286393156112,0.46535281063165546
domestic_inflow_zero,2054,7353385.698196611,6122399.150158748,1230986.548037864,3364672.1281446833,3988713.570051928,419176.8078397017,3468035.183743572,3466173.7066133367,0.16740405012887583,0.47137112737924275
domestic_inflow_zero,2055,7177846.159287361,5939369.981487537,1238476.1777998242,3274759.0066781053,3903087.152609256,407285.05773855466,3346459.668733586,3424101.4328152207,0.1725414769718029,0.47703745062643915
domestic_inflow_zero,2056,7005643.895739397,5760017.531717379,1245626.3640220189,3186844.7482721666,3818799.147467231,396424.5584764621,3230169.331563837,3379050.005699098,0.17780326584677933,0.48233253873410914
domestic_inflow_zero,2057,6836636.069162401,5584182.820794884,1252453.2483675168,3100913.9579272876,3735722.1112351143,386405.722060495,3117095.3636851157,3333134.983416791,0.18319729698892143,0.4875402097899229
domestic_inflow_zero,2058,6670812.112873783,5411845.614387072,1258966.4984867112,3016944.7754954263,3653867.3373783566,377041.9264624829,3011183.7755336836,3282586.4108776166,0.18872762074306856,0.49208197672704046
domestic_inflow_zero,2059,6507822.810692788,5242634.7892490635,1265188.0214437246,2934922.4367021355,3572900.3739906526,368209.2824198487,2912106.1578213237,3227507.370451616,0.1944103363362838,0.49594272375526355
domestic_inflow_zero,2060,6347636.7223393945,5076503.934691392,1271132.7876480026,2854861.3967744233,3492775.3255649717,359800.97419283126,2819527.4225949743,3168308.325551589,0.20025291982675594,0.4991319547952836
domestic_inflow_zero,2061,6190259.236307729,4913443.611971069,1276815.6243366604,2776791.336834484,3413467.899473246,351723.1667027959,2733125.128200625,3105410.941404308,0.20626206037507336,0.5016608873486494
domestic_inflow_zero,2062,6035724.370873332,4753475.192360353,1282249.1785129793,2700748.411125206,3334975.9597481266,343894.6481797509,2650692.566911489,3041137.1557820933,0.2124432959034287,0.5038562016611868
domestic_inflow_zero,2063,5884113.032545647,4596674.496833101,1287438.5357125453,2626765.8394577303,3257347.193087917,336262.80245432735,2575426.0070381053,2972424.2230532137,0.21879908298694936,0.5051609659115016
domestic_inflow_zero,2064,5735511.5051080575,4443109.867933992,1292401.6371740652,2554895.1869299803,3180616.318178077,328819.3740358978,2506701.4284911584,2899990.7025810014,0.22533328300763583,0.505620239798711
domestic_inflow_zero,2065,5590004.6943219025,4292856.56537388,1297148.1289480226,2485168.638374037,3104836.055947866,321557.99917746085,2443939.3995546256,2824507.2955898163,0.2320477709554721,0.5052781616550045
domestic_inflow_zero,2066,5447705.549991045,4146018.504925801,1301687.0450652447,2417627.1098009367,3030078.4401901094,314472.9917598636,2386616.7077197544,2746615.850511427,0.23894225433446645,0.5041784702398135
